Name,Rating,Profile,Address,Reviews,Salary,Jobs,Benefits,Photos
TCS,3.5,IT Services & Consulting,Bangalore / Bengaluru +419 other locations,1L,9.4L,812,10.6k,86
Accenture,3.7,IT Services & Consulting,Bangalore / Bengaluru +235 other locations,66.7k,6.3L,30.6k,6.7k,48
Wipro,3.7,IT Services & Consulting,Bangalore / Bengaluru +362 other locations,59.8k,4.6L,6.9k,4.6k,98
Cognizant,3.7,IT Services & Consulting,Hyderabad / Secunderabad +220 other locations,56.8k,5.8L,374,5.5k,82
Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru +177 other locations,48.6k,4.6L,2k,3.6k,41
HDFC Bank,3.8,Banking,Mumbai +1742 other locations,46.4k,1.4L,200,3.2k,69
Infosys,3.5,IT Services & Consulting,Bangalore / Bengaluru +234 other locations,44.8k,5L,1.7k,4.8k,117
ICICI Bank,4.0,Banking,Mumbai +1397 other locations,42.6k,1.5L,8,3.7k,66
HCLTech,3.4,IT Services & Consulting,Chennai +220 other locations,41.7k,3.6L,284,3.8k,58
Tech Mahindra,3.4,IT Services & Consulting,Hyderabad / Secunderabad +325 other locations,39.9k,2.8L,605,3.3k,74
Genpact,3.7,IT Services & Consulting,Hyderabad / Secunderabad +166 other locations,38k,2.2L,399,3.5k,58
Teleperformance,3.9,BPO,Mumbai +243 other locations,34.1k,93.2k,616,1.8k,38
Axis Bank,3.7,Banking,Mumbai +1463 other locations,29.9k,1L,661,2.1k,105
Concentrix Corporation,3.6,BPO,Bangalore / Bengaluru +169 other locations,29.7k,1.3L,108,3.1k,65
Amazon,4.0,Internet,Bangalore / Bengaluru +504 other locations,28.7k,1.4L,1.6k,4.1k,84
Jio,4.3,Telecom,Mumbai +1744 other locations,28.7k,62.2k,61,2.5k,70
iEnergizer,4.7,BPO,Noida +47 other locations,26.4k,23.4k,33,429,28
Reliance Retail,3.9,Retail,Mumbai +1114 other locations,25.3k,71.7k,88,1.9k,129
IBM,3.9,IT Services & Consulting,Bangalore / Bengaluru +157 other locations,24.3k,2.1L,2.2k,2.6k,23
LTIMindtree,3.7,IT Services & Consulting,Bangalore / Bengaluru +137 other locations,23.7k,1.9L,465,775,34
HDB Financial Services,3.9,NBFC,Mumbai +1055 other locations,23.3k,49.4k,207,1.5k,64
Larsen & Toubro Limited,3.9,Engineering & Construction,Chennai +728 other locations,21.5k,72k,879,2.8k,62
Deloitte,3.7,Management Consulting,Hyderabad / Secunderabad +175 other locations,20.9k,2.3L,1.7k,2.4k,25
Kotak Mahindra Bank,3.7,Banking,Mumbai +666 other locations,20.3k,85.4k,1.1k,1.3k,39
Reliance Industries,4.0,Oil & Gas,Jamnagar +782 other locations,18.4k,70.6k,41,1.8k,38
Vodafone Idea,4.0,Telecom,Pune +681 other locations,16.7k,50.8k,28,2k,21
BYJU'S,3.1,EdTech,Bangalore / Bengaluru +321 other locations,16.5k,56.4k,--,1.7k,28
Bharti Airtel,3.9,Telecom,Gurgaon / Gurugram +762 other locations,15.7k,48.2k,452,1.6k,95
WNS,3.3,BPO,Pune +58 other locations,13.8k,67.5k,89,1.3k,24
Tata Motors,4.1,Automobile,Pune +490 other locations,13.1k,42k,170,1.6k,40
AU Small Finance Bank,4.1,Banking,Jaipur +746 other locations,13.1k,27.9k,26,577,24
IndusInd Bank,3.4,Banking,Mumbai +773 other locations,12.8k,50.7k,154,792,15
Ernst & Young,3.4,Management Consulting,Bangalore / Bengaluru +122 other locations,12.8k,1.3L,2.1k,1.2k,6
IDFC FIRST Bank,3.9,Banking,Mumbai +689 other locations,12.6k,47.6k,41,695,57
Flipkart,3.9,Internet,Bangalore / Bengaluru +545 other locations,11.9k,52k,160,1.4k,101
DXC Technology,3.6,IT Services & Consulting,Bangalore / Bengaluru +132 other locations,11.2k,73k,309,1.1k,6
Bajaj Finserv,3.9,Financial Services,Pune +1091 other locations,11.1k,28.8k,32,719,14
PwC,3.3,Management Consulting,Bangalore / Bengaluru +125 other locations,11.1k,1.1L,933,799,24
Infosys BPM,3.5,BPO,Bangalore / Bengaluru +87 other locations,11.1k,69.8k,42,1.1k,6
Mahindra & Mahindra,4.1,Automobile,Pune +541 other locations,11k,38.6k,1,1.2k,15
HDFC Life,3.9,Insurance,Mumbai +670 other locations,10.8k,31.8k,135,613,50
Conneqt Business Solutions,3.6,BPO,Hyderabad / Secunderabad +256 other locations,9.6k,25.8k,378,773,47
Mphasis,3.3,IT Services & Consulting,Bangalore / Bengaluru +60 other locations,9.5k,71.4k,37,845,101
Bandhan Bank,3.7,Banking,Kolkata +952 other locations,9.5k,24.4k,7,516,35
Yes Bank,3.7,Banking,Mumbai +515 other locations,9.2k,42.7k,190,607,18
Muthoot Fincorp,4.5,NBFC,Bangalore / Bengaluru +970 other locations,8.9k,9k,58,274,66
Tata Steel,4.0,Iron & Steel,Jamshedpur +219 other locations,8.9k,32.5k,--,657,46
Startek,3.1,BPO,Bangalore / Bengaluru +102 other locations,8.7k,24.1k,105,681,14
Quess,3.8,IT Services & Consulting,Bangalore / Bengaluru +691 other locations,8.6k,29.8k,7,439,21
Asian Paints,3.9,Chemicals,Mumbai +524 other locations,8.5k,24.5k,31,883,34
Paytm,3.2,FinTech,Noida +395 other locations,8.5k,32.9k,812,579,24
UltraTech Cement,4.1,Building Material,Mumbai +515 other locations,8.4k,23.1k,97,619,45
Shriram Finance,4.0,NBFC,Chennai +1067 other locations,8.2k,14.9k,4,28,42
Maruti Suzuki,4.1,Automobile,Gurgaon / Gurugram +424 other locations,8.2k,25.9k,566,977,25
Sutherland Global Services,3.5,BPO,Chennai +73 other locations,8.1k,32.4k,393,900,30
EXL Service,3.6,IT Services & Consulting,Noida +59 other locations,8k,42.2k,362,796,20
Bajaj Finance,3.9,NBFC,Pune +908 other locations,8k,22.2k,7k,495,11
Samsung,3.9,Consumer Electronics & Appliances,Noida +557 other locations,7.9k,26.3k,59,528,15
Ericsson,4.0,Telecom,Noida +160 other locations,7.9k,42.4k,130,996,17
Cipla,4.1,Pharma,Mumbai +281 other locations,7.8k,25.3k,83,851,20
Wells Fargo,3.7,Financial Services,Bangalore / Bengaluru +28 other locations,7.7k,53.5k,229,854,12
Dr. Reddy's,4.0,Pharma,Hyderabad / Secunderabad +205 other locations,7.6k,25.4k,48,738,28
HGS,3.7,BPO,Bangalore / Bengaluru +118 other locations,7.3k,21.2k,10,969,32
ICICI Prudential Life Insurance,4.0,Insurance,Mumbai +496 other locations,7.2k,22.3k,704,625,10
Amazon Development Centre India,3.9,Internet,Hyderabad / Secunderabad +145 other locations,7.2k,36.3k,9,20,12
Optum Global Solutions,4.0,IT Services & Consulting,Hyderabad / Secunderabad +60 other locations,7.2k,46.4k,232,686,1
JPMorgan Chase & Co.,3.8,Financial Services,Bangalore / Bengaluru +52 other locations,7.1k,79.9k,724,844,14
Delhivery,3.8,Logistics,Gurgaon / Gurugram +719 other locations,7k,20k,102,656,66
Sun Pharmaceutical Industries,4.1,Pharma,Vadodara +255 other locations,7k,23k,354,593,16
Jana Small Finance Bank,3.8,Banking,Bangalore / Bengaluru +401 other locations,7k,14.4k,8,622,15
Hexaware Technologies,3.5,IT Services & Consulting,Chennai +67 other locations,6.9k,51.1k,540,547,28
JSW Steel,3.9,Iron & Steel,Ballari +179 other locations,6.9k,29.3k,154,600,32
L&T Construction,4.0,Engineering & Construction,Chennai +412 other locations,6.8k,18.8k,--,779,31
Lupin,4.1,Pharma,Pune +194 other locations,6.8k,22.1k,38,766,11
Zydus Lifesciences,4.0,Pharma,Ahmedabad +171 other locations,6.7k,19.4k,32,604,21
Hindustan Unilever,4.2,FMCG,Mumbai +509 other locations,6.7k,19.6k,52,703,3
Equitas Small Finance Bank,4.3,Banking,Chennai +440 other locations,6.6k,12.6k,22,397,25
